Label,TagSet,AssetType,Asset,AssetParent,City,Building,Wing,Floor,Room,Zone
421_U17_FCU_FAULT,FCU_Fault_Sensor,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U17_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U17_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U17_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U18_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_FCU_FAULT,FCU_Fault_Sensor,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U18_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U18,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U18,NA
421_U19_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_FCU_FAULT,FCU_Fault_Sensor,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U19_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U19,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U19,NA
421_U1_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_FCU_FAULT,FCU_Fault_Sensor,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U1_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U1,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U1,NA
421_U20_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
421_U20_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U20,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U20,NA
