"tag","ANY1","ANY2","CMU GHC","HAY","IBM","SDU","UCB SDH","UCB SODA","UCSD","UVA","TOTAL"
"freezestat",0,0,0,1,0,0,0,0,0,0,1
"freq",0,0,0,2,0,0,6,0,0,0,8
"frequency",0,9,0,0,11,0,0,0,14,0,34
"fresh",0,1,0,0,1,0,0,0,0,0,2
"frost",0,1,0,0,2,0,1,0,0,0,4
"gain",0,0,0,0,0,0,225,225,12,0,462
"gas",0,5,0,0,5,0,0,0,0,0,10
"glycool",0,0,0,0,0,0,0,0,4,0,4
"good!",0,0,0,0,0,0,0,0,3,0,3
"hail",0,1,0,0,1,0,1,0,0,0,3
"hand",0,0,0,0,0,0,0,0,2,0,2
"head",0,0,0,0,0,0,0,0,8,0,8
"heat",21,11,504,1,12,3,1,0,13,0,566
"heatexchanger",0,5,0,4,0,0,0,0,0,0,9
"heating",36,11,14,3,192,57,158,0,668,0,1139
"heatwheel",0,2,63,1,0,0,0,0,0,0,66
"hi",0,0,0,0,0,0,0,0,6,0,6
"high",10,0,0,0,0,0,0,0,34,0,44
"high-high",0,0,0,0,0,0,0,0,1,0,1
"highest",1,0,0,0,0,0,0,0,0,0,1
"hot",13,34,480,0,70,0,31,50,10,42,730
"hotwaterheat",0,0,11,0,0,0,0,0,0,0,11
"hour",0,3,0,0,5,0,0,0,0,0,8
"hours",0,0,0,0,0,0,0,0,2,0,2
"hps",0,0,0,0,0,0,1,1,0,0,2
"hpsteam",0,0,0,0,0,0,1,1,0,0,2
"hru",5,0,0,0,0,0,0,0,0,0,5
"hrw",2,0,0,0,0,0,0,0,0,0,2
"htg",1,0,0,0,0,0,0,0,0,0,1
"humidification",0,0,0,0,0,0,0,0,4,0,4
"humidifier",0,2,8,1,0,0,0,0,8,0,19
"humidity",11,16,80,4,1,11,2,1,32,54,212
"hw",10,0,0,0,0,0,0,0,0,0,10
"i",0,0,0,0,0,0,3,3,0,0,6
"ice",0,0,0,0,0,0,0,0,0,2,2
"illuminance",0,0,0,0,0,58,0,0,0,0,58
