Note,Contains haystack tags and custom tags
EBU3B.RM-1122..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1122..OCC-CMD,zone occupied cmd
EBU3B.RM-1122..RH-VLV,reheat valve cmd
EBU3B.RM-1122..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1122..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1122..COMMONSP,zone air temp sp
EBU3B.RM-1122..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1122..ZN-T,zone air temp sensor
EBU3B.RM-1123..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1123..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1123..CLGPID-O,zone cooling cmd
EBU3B.RM-1123..DPR-C,discharge air damper cmd
EBU3B.RM-1123..DMPR-POS,discharge air damper sensor
EBU3B.RM-1123..HTGPID-O,zone heating cmd
EBU3B.RM-1123..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1123..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1123..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1123..OCC-CMD,zone occupied cmd
EBU3B.RM-1123..RH-VLV,reheat valve cmd
EBU3B.RM-1123..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1123..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1123..COMMONSP,zone air temp sp
EBU3B.RM-1123..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1123..ZN-T,zone air temp sensor
EBU3B.RM-1124..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1124..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1124..CLGPID-O,zone cooling cmd
EBU3B.RM-1124..DPR-C,discharge air damper cmd
EBU3B.RM-1124..DMPR-POS,discharge air damper sensor
EBU3B.RM-1124..HTGPID-O,zone heating cmd
EBU3B.RM-1124..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1124..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1124..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1124..OCC-CMD,zone occupied cmd
EBU3B.RM-1124..RH-VLV,reheat valve cmd
EBU3B.RM-1124..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1124..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1124..COMMONSP,zone air temp sp
EBU3B.RM-1124..T-OCC,zone thermostat occupied cmd
EBU3B.RM-1124..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1124..ZN-T,zone air temp sensor
EBU3B.RM-1125..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1125..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1125..CLGPID-O,zone cooling cmd
EBU3B.RM-1125..DPR-C,discharge air damper cmd
EBU3B.RM-1125..DMPR-POS,discharge air damper sensor
EBU3B.RM-1125..HTGPID-O,zone heating cmd
EBU3B.RM-1125..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1125..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1125..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1125..OCC-CMD,zone occupied cmd
EBU3B.RM-1125..RH-VLV,reheat valve cmd
EBU3B.RM-1125..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1125..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1125..COMMONSP,zone air temp sp
EBU3B.RM-1125..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1125..ZN-T,zone air temp sensor
EBU3B.RM-1126..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1126..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1126..CLGPID-O,zone cooling cmd
EBU3B.RM-1126..DPR-C,discharge air damper cmd
EBU3B.RM-1126..DMPR-POS,discharge air damper sensor
EBU3B.RM-1126..HTGPID-O,zone heating cmd
EBU3B.RM-1126..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1126..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1126..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1126..OCC-CMD,zone occupied cmd
EBU3B.RM-1126..RH-VLV,reheat valve cmd
EBU3B.RM-1126..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1126..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1126..COMMONSP,zone air temp sp
EBU3B.RM-1126..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1126..ZN-T,zone air temp sensor
EBU3B.RM-1130..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1130..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1130..CLGPID-O,zone cooling cmd
EBU3B.RM-1130..DPR-C,discharge air damper cmd
EBU3B.RM-1130..DMPR-POS,discharge air damper sensor
EBU3B.RM-1130..FAN-C,discharge air fan cmd
EBU3B.RM-1130..HTGPID-O,zone heating cmd
EBU3B.RM-1130..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1130..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1130..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1130..OCC-CMD,zone occupied cmd
EBU3B.RM-1130..RH-VLV,reheat valve cmd
EBU3B.RM-1130..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1130..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1130..COMMONSP,zone air temp sp
EBU3B.RM-1130..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1130..ZN-T,zone air temp sensor
EBU3B.RM-1132..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1132..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1132..CLGPID-O,zone cooling cmd
EBU3B.RM-1132..DPR-C,discharge air damper cmd
EBU3B.RM-1132..DMPR-POS,discharge air damper sensor
EBU3B.RM-1132..HTGPID-O,zone heating cmd
EBU3B.RM-1132..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1132..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1132..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1132..OCC-CMD,zone occupied cmd
EBU3B.RM-1132..RH-VLV,reheat valve cmd
EBU3B.RM-1132..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1132..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1132..COMMONSP,zone air temp sp
EBU3B.RM-1132..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1132..ZN-T,zone air temp sensor
EBU3B.RM-1133..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1133..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1133..CLGPID-O,zone cooling cmd
EBU3B.RM-1133..DPR-C,discharge air damper cmd
