Note,Contains haystack tags and custom tags
EBU3B.RM-3134..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3134..ZN-T,zone air temp sensor
EBU3B.RM-3136..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3136..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3136..CLGPID-O,zone cooling cmd
EBU3B.RM-3136..DPR-C,discharge air damper cmd
EBU3B.RM-3136..DMPR-POS,discharge air damper sensor
EBU3B.RM-3136..HTGPID-O,zone heating cmd
EBU3B.RM-3136..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3136..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3136..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3136..OCC-CMD,zone occupied cmd
EBU3B.RM-3136..RH-VLV,reheat valve cmd
EBU3B.RM-3136..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3136..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3136..COMMONSP,zone air temp sp
EBU3B.RM-3136..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3136..ZN-T,zone air temp sensor
EBU3B.RM-3138..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3138..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3138..CLGPID-O,zone cooling cmd
EBU3B.RM-3138..DPR-C,discharge air damper cmd
EBU3B.RM-3138..DMPR-POS,discharge air damper sensor
EBU3B.RM-3138..HTGPID-O,zone heating cmd
EBU3B.RM-3138..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3138..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3138..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3138..OCC-CMD,zone occupied cmd
EBU3B.RM-3138..RH-VLV,reheat valve cmd
EBU3B.RM-3138..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3138..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3138..COMMONSP,zone air temp sp
EBU3B.RM-3138..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3138..ZN-T,zone air temp sensor
EBU3B.RM-3140..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3140..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3140..CLGPID-O,zone cooling cmd
EBU3B.RM-3140..DPR-C,discharge air damper cmd
EBU3B.RM-3140..DMPR-POS,discharge air damper sensor
EBU3B.RM-3140..FAN-C,discharge air fan cmd
EBU3B.RM-3140..HTGPID-O,zone heating cmd
EBU3B.RM-3140..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3140..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3140..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3140..OCC-CMD,zone occupied cmd
EBU3B.RM-3140..RH-VLV,reheat valve cmd
EBU3B.RM-3140..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3140..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3140..COMMONSP,zone air temp sp
EBU3B.RM-3140..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3140..ZN-T,zone air temp sensor
EBU3B.RM-3142..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3142..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3142..CLGPID-O,zone cooling cmd
EBU3B.RM-3142..DPR-C,discharge air damper cmd
EBU3B.RM-3142..DMPR-POS,discharge air damper sensor
EBU3B.RM-3142..HTGPID-O,zone heating cmd
EBU3B.RM-3142..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3142..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3142..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3142..OCC-CMD,zone occupied cmd
EBU3B.RM-3142..RH-VLV,reheat valve cmd
EBU3B.RM-3142..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3142..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3142..COMMONSP,zone air temp sp
EBU3B.RM-3142..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3142..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3142..ZN-T,zone air temp sensor
EBU3B.RM-3144..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3144..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3144..CLGPID-O,zone cooling cmd
EBU3B.RM-3144..DPR-C,discharge air damper cmd
EBU3B.RM-3144..DMPR-POS,discharge air damper sensor
EBU3B.RM-3144..HTGPID-O,zone heating cmd
EBU3B.RM-3144..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3144..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3144..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3144..OCC-CMD,zone occupied cmd
EBU3B.RM-3144..RH-VLV,reheat valve cmd
EBU3B.RM-3144..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3144..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3144..COMMONSP,zone air temp sp
EBU3B.RM-3144..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3144..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3144..ZN-T,zone air temp sensor
EBU3B.RM-3146..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3146..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3146..CLGPID-O,zone cooling cmd
EBU3B.RM-3146..DPR-C,discharge air damper cmd
EBU3B.RM-3146..DMPR-POS,discharge air damper sensor
EBU3B.RM-3146..HTGPID-O,zone heating cmd
EBU3B.RM-3146..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3146..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3146..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3146..OCC-CMD,zone occupied cmd
EBU3B.RM-3146..RH-VLV,reheat valve cmd
EBU3B.RM-3146..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3146..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3146..COMMONSP,zone air temp sp
EBU3B.RM-3146..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3146..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3146..ZN-T,zone air temp sensor
EBU3B.RM-3148..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3148..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3148..CLGPID-O,zone cooling cmd
EBU3B.RM-3148..DPR-C,discharge air damper cmd
EBU3B.RM-3148..DMPR-POS,discharge air damper sensor
EBU3B.RM-3148..HTGPID-O,zone heating cmd
EBU3B.RM-3148..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3148..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3148..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3148..OCC-CMD,zone occupied cmd
EBU3B.RM-3148..RH-VLV,reheat valve cmd
EBU3B.RM-3148..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3148..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3148..COMMONSP,zone air temp sp
EBU3B.RM-3148..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3148..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3148..ZN-T,zone air temp sensor
EBU3B.RM-3150..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3150..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3150..CLGPID-O,zone cooling cmd
EBU3B.RM-3150..DPR-C,discharge air damper cmd
EBU3B.RM-3150..DMPR-POS,discharge air damper sensor
EBU3B.RM-3150..HTGPID-O,zone heating cmd
EBU3B.RM-3150..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3150..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3150..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3150..OCC-CMD,zone occupied cmd
EBU3B.RM-3150..RH-VLV,reheat valve cmd
EBU3B.RM-3150..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3150..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3150..COMMONSP,zone air temp sp
EBU3B.RM-3150..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3150..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3150..ZN-T,zone air temp sensor
EBU3B.RM-3152..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3152..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3152..CLGPID-O,zone cooling cmd
EBU3B.RM-3152..DPR-C,discharge air damper cmd
EBU3B.RM-3152..DMPR-POS,discharge air damper sensor
EBU3B.RM-3152..HTGPID-O,zone heating cmd
EBU3B.RM-3152..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3152..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3152..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3152..OCC-CMD,zone occupied cmd
EBU3B.RM-3152..RH-VLV,reheat valve cmd
EBU3B.RM-3152..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3152..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3152..COMMONSP,zone air temp sp
EBU3B.RM-3152..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3152..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3152..ZN-T,zone air temp sensor
EBU3B.RM-3154..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3154..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3154..CLGPID-O,zone cooling cmd
EBU3B.RM-3154..DPR-C,discharge air damper cmd
EBU3B.RM-3154..DMPR-POS,discharge air damper sensor
EBU3B.RM-3154..FAN-C,discharge air fan cmd
EBU3B.RM-3154..HTGPID-O,zone heating cmd
EBU3B.RM-3154..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3154..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3154..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3154..OCC-CMD,zone occupied cmd
EBU3B.RM-3154..RH-VLV,reheat valve cmd
EBU3B.RM-3154..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3154..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3154..COMMONSP,zone air temp sp
EBU3B.RM-3154..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3154..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3154..ZN-T,zone air temp sensor
EBU3B.RM-3200A..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3200A..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3200A..CLGPID-O,zone cooling cmd
EBU3B.RM-3200A..DPR-C,discharge air damper cmd
EBU3B.RM-3200A..DMPR-POS,discharge air damper sensor
EBU3B.RM-3200A..HTGPID-O,zone heating cmd
EBU3B.RM-3200A..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3200A..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3200A..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3200A..OCC-CMD,zone occupied cmd
EBU3B.RM-3200A..RH-VLV,reheat valve cmd
EBU3B.RM-3200A..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3200A..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3200A..COMMONSP,zone air temp sp
EBU3B.RM-3200A..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3200A..ZN-T,zone air temp sensor
EBU3B.RM-3200B..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3200B..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3200B..CLGPID-O,zone cooling cmd
EBU3B.RM-3200B..DPR-C,discharge air damper cmd
EBU3B.RM-3200B..DMPR-POS,discharge air damper sensor
EBU3B.RM-3200B..HTGPID-O,zone heating cmd
EBU3B.RM-3200B..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3200B..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3200B..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3200B..OCC-CMD,zone occupied cmd
EBU3B.RM-3200B..RH-VLV,reheat valve cmd
EBU3B.RM-3200B..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3200B..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3200B..COMMONSP,zone air temp sp
EBU3B.RM-3200B..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3200B..ZN-T,zone air temp sensor
EBU3B.RM-3202..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3202..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3202..CLGPID-O,zone cooling cmd
EBU3B.RM-3202..DPR-C,discharge air damper cmd
EBU3B.RM-3202..DMPR-POS,discharge air damper sensor
EBU3B.RM-3202..HTGPID-O,zone heating cmd
EBU3B.RM-3202..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3202..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3202..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3202..OCC-CMD,zone occupied cmd
EBU3B.RM-3202..RH-VLV,reheat valve cmd
EBU3B.RM-3202..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3202..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3202..COMMONSP,zone air temp sp
EBU3B.RM-3202..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3202..ZN-T,zone air temp sensor
EBU3B.RM-3203..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3203..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3203..CLGPID-O,zone cooling cmd
EBU3B.RM-3203..DPR-C,discharge air damper cmd
EBU3B.RM-3203..DMPR-POS,discharge air damper sensor
EBU3B.RM-3203..HTGPID-O,zone heating cmd
EBU3B.RM-3203..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3203..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3203..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3203..OCC-CMD,zone occupied cmd
EBU3B.RM-3203..RH-VLV,reheat valve cmd
EBU3B.RM-3203..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3203..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3203..COMMONSP,zone air temp sp
EBU3B.RM-3203..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3203..ZN-T,zone air temp sensor
EBU3B.RM-3205..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3205..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3205..CLGPID-O,zone cooling cmd
EBU3B.RM-3205..DPR-C,discharge air damper cmd
EBU3B.RM-3205..DMPR-POS,discharge air damper sensor
EBU3B.RM-3205..HTGPID-O,zone heating cmd
EBU3B.RM-3205..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3205..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3205..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3205..OCC-CMD,zone occupied cmd
EBU3B.RM-3205..RH-VLV,reheat valve cmd
EBU3B.RM-3205..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3205..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3205..COMMONSP,zone air temp sp
EBU3B.RM-3205..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3205..ZN-T,zone air temp sensor
EBU3B.RM-3207..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3207..CLGPID-O,zone cooling cmd
EBU3B.RM-3207..DPR-C,discharge air damper cmd
EBU3B.RM-3207..DMPR-POS,discharge air damper sensor
EBU3B.RM-3207..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3207..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3207..OCC-CMD,zone occupied cmd
EBU3B.RM-3207..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3207..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3207..COMMONSP,zone air temp sp
EBU3B.RM-3207..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3207..ZN-T,zone air temp sensor
EBU3B.RM-3208..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3208..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3208..CLGPID-O,zone cooling cmd
EBU3B.RM-3208..DPR-C,discharge air damper cmd
EBU3B.RM-3208..DMPR-POS,discharge air damper sensor
EBU3B.RM-3208..HTGPID-O,zone heating cmd
EBU3B.RM-3208..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3208..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3208..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3208..OCC-CMD,zone occupied cmd
EBU3B.RM-3208..RH-VLV,reheat valve cmd
EBU3B.RM-3208..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3208..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3208..COMMONSP,zone air temp sp
EBU3B.RM-3208..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3208..ZN-T,zone air temp sensor
EBU3B.RM-3213..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3213..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3213..CLGPID-O,zone cooling cmd
EBU3B.RM-3213..DPR-C,discharge air damper cmd
EBU3B.RM-3213..DMPR-POS,discharge air damper sensor
EBU3B.RM-3213..FAN-C,discharge air fan cmd
EBU3B.RM-3213..HTGPID-O,zone heating cmd
EBU3B.RM-3213..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3213..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3213..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3213..OCC-CMD,zone occupied cmd
EBU3B.RM-3213..RH-VLV,reheat valve cmd
EBU3B.RM-3213..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3213..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3213..COMMONSP,zone air temp sp
EBU3B.RM-3213..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3213..ZN-T,zone air temp sensor
EBU3B.RM-3214..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3214..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3214..CLGPID-O,zone cooling cmd
EBU3B.RM-3214..DPR-C,discharge air damper cmd
EBU3B.RM-3214..DMPR-POS,discharge air damper sensor
EBU3B.RM-3214..HTGPID-O,zone heating cmd
EBU3B.RM-3214..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3214..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3214..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3214..OCC-CMD,zone occupied cmd
EBU3B.RM-3214..RH-VLV,reheat valve cmd
EBU3B.RM-3214..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3214..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3214..COMMONSP,zone air temp sp
EBU3B.RM-3214..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3214..ZN-T,zone air temp sensor
EBU3B.RM-3215..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3215..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3215..CLGPID-O,zone cooling cmd
EBU3B.RM-3215..DPR-C,discharge air damper cmd
EBU3B.RM-3215..DMPR-POS,discharge air damper sensor
EBU3B.RM-3215..HTGPID-O,zone heating cmd
EBU3B.RM-3215..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3215..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3215..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3215..OCC-CMD,zone occupied cmd
EBU3B.RM-3215..RH-VLV,reheat valve cmd
EBU3B.RM-3215..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3215..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3215..COMMONSP,zone air temp sp
EBU3B.RM-3215..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3215..ZN-T,zone air temp sensor
EBU3B.RM-3217..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3217..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3217..CLGPID-O,zone cooling cmd
EBU3B.RM-3217..DPR-C,discharge air damper cmd
EBU3B.RM-3217..DMPR-POS,discharge air damper sensor
EBU3B.RM-3217..HTGPID-O,zone heating cmd
EBU3B.RM-3217..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3217..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3217..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3217..OCC-CMD,zone occupied cmd
EBU3B.RM-3217..RH-VLV,reheat valve cmd
EBU3B.RM-3217..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3217..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3217..COMMONSP,zone air temp sp
EBU3B.RM-3217..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3217..ZN-T,zone air temp sensor
EBU3B.RM-3218..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3219S..ZN-T,zone air temp sensor
EBU3B.RM-3220..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3220..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3220..CLGPID-O,zone cooling cmd
EBU3B.RM-3220..DPR-C,discharge air damper cmd
EBU3B.RM-3220..DMPR-POS,discharge air damper sensor
EBU3B.RM-3220..HTGPID-O,zone heating cmd
EBU3B.RM-3220..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3220..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3220..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3220..OCC-CMD,zone occupied cmd
EBU3B.RM-3220..RH-VLV,reheat valve cmd
EBU3B.RM-3220..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3220..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3220..COMMONSP,zone air temp sp
EBU3B.RM-3220..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3220..ZN-T,zone air temp sensor
EBU3B.RM-3221..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3221..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3221..CLGPID-O,zone cooling cmd
EBU3B.RM-3221..DPR-C,discharge air damper cmd
EBU3B.RM-3221..DMPR-POS,discharge air damper sensor
EBU3B.RM-3221..HTGPID-O,zone heating cmd
EBU3B.RM-3221..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3221..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3221..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3221..OCC-CMD,zone occupied cmd
EBU3B.RM-3221..RH-VLV,reheat valve cmd
EBU3B.RM-3221..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3221..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3221..COMMONSP,zone air temp sp
EBU3B.RM-3221..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3219N..ZN-T,zone air temp sensor
EBU3B.RM-3223..ACLG-SP,zone air temp effective min sp
EBU3B.RM-3223..AHTG-STPT,zone air temp effective max sp
EBU3B.RM-3223..BOXMODE,vavMode sp
EBU3B.RM-3223..DMPRPOS,discharge air damper sensor
EBU3B.RM-3223..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3223..OCMNC-SP,discharge air flow occ cooling min sp
EBU3B.RM-3223..OCCHTGFL,discharge air flow occ heating min sp
EBU3B.RM-3223..OCC-CMD,zone occupied cmd
EBU3B.RM-3223..OCC-STS,zone occupied sensor
EBU3B.RM-3223..RH-VLV,reheat valve cmd
EBU3B.RM-3223..SUPFLOW,discharge air flow sensor
EBU3B.RM-3223..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3223..COMMONSP,zone air temp sp
EBU3B.RM-3223..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3226..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3226..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3226..CLGPID-O,zone cooling cmd
EBU3B.RM-3226..DPR-C,discharge air damper cmd
EBU3B.RM-3226..DMPR-POS,discharge air damper sensor
EBU3B.RM-3226..HTGPID-O,zone heating cmd
EBU3B.RM-3226..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3226..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3226..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3226..OCC-CMD,zone occupied cmd
EBU3B.RM-3226..RH-VLV,reheat valve cmd
EBU3B.RM-3226..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3226..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3226..COMMONSP,zone air temp sp
EBU3B.RM-3226..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3226..ZN-T,zone air temp sensor
EBU3B.RM-3230..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3230..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3230..CLGPID-O,zone cooling cmd
EBU3B.RM-3230..DPR-C,discharge air damper cmd
EBU3B.RM-3230..DMPR-POS,discharge air damper sensor
EBU3B.RM-3230..HTGPID-O,zone heating cmd
EBU3B.RM-3230..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3230..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3230..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3230..OCC-CMD,zone occupied cmd
EBU3B.RM-3230..RH-VLV,reheat valve cmd
EBU3B.RM-3230..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3230..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3230..COMMONSP,zone air temp sp
EBU3B.RM-3230..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3230..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3230..ZN-T,zone air temp sensor
EBU3B.RM-3232..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3232..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3232..CLGPID-O,zone cooling cmd
EBU3B.RM-3232..DPR-C,discharge air damper cmd
EBU3B.RM-3232..DMPR-POS,discharge air damper sensor
EBU3B.RM-3232..HTGPID-O,zone heating cmd
EBU3B.RM-3232..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3232..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3232..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3232..OCC-CMD,zone occupied cmd
EBU3B.RM-3232..RH-VLV,reheat valve cmd
EBU3B.RM-3232..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3232..SUPFLO-SP,discharge air flow sp
EBU3B.RM-3232..COMMONSP,zone air temp sp
EBU3B.RM-3232..T-OCC,zone thermostat occupied cmd
EBU3B.RM-3232..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-3232..ZN-T,zone air temp sensor
EBU3B.RM-3236..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-3236..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-3236..CLGPID-O,zone cooling cmd
EBU3B.RM-3236..DPR-C,discharge air damper cmd
EBU3B.RM-3236..DMPR-POS,discharge air damper sensor
EBU3B.RM-3236..HTGPID-O,zone heating cmd
EBU3B.RM-3236..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-3236..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-3236..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-3236..OCC-CMD,zone occupied cmd
EBU3B.RM-3236..RH-VLV,reheat valve cmd
EBU3B.RM-3236..SUP-FLOW,discharge air flow sensor
EBU3B.RM-3236..SUPFLO-SP,discharge air flow sp
